source,dest,prompts,seed_train,seeds,source id,dest id
warplane,space shuttle,"['An image of {}', 'A photo of {}', '{}']",1255,"['85154', '56380', 42935]",895,812
washbasin,washer,"['An image of {}', 'A photo of {}', '{}']",8033,"['95840', 57655, '17067']",896,897
wig,badger,"['An image of {}', 'A photo of {}', '{}']",1865,"[58906, 80027, '5174']",903,362
window screen,chainlink fence,"['An image of {}', 'A photo of {}', '{}']",2861,"['96539', 67812, '63389']",904,489
wreck,suit,"['An image of {}', 'A photo of {}', '{}']",9070,"[4734, 12047, 82673]",913,834
yurt,canoe,"['An image of {}', 'A photo of {}', '{}']",9605,"['49944', '13419', '12222']",915,472
comic book,plate,"['An image of {}', 'A photo of {}', '{}']",3460,"[35833, '3951', 5387]",917,923
crossword puzzle,quilt,"['An image of {}', 'A photo of {}', '{}']",4236,"[32638, '15356', '47030']",918,750
trifle,cup,"['An image of {}', 'A photo of {}', '{}']",6238,"['83406', '34980', '46538']",927,968
ice cream,candle,"['An image of {}', 'A photo of {}', '{}']",9836,"[18476, '77402', '75788']",928,470
ice lolly,matchstick,"['An image of {}', 'A photo of {}', '{}']",7351,"['91721', 14490, 79093]",929,644
pretzel,badger,"['An image of {}', 'A photo of {}', '{}']",4810,"['53046', '4820', 26655]",932,362
broccoli,guacamole,"['An image of {}', 'A photo of {}', '{}']",4595,"['78679', '71672', '25245']",937,924
spaghetti squash,bell pepper,"['An image of {}', 'A photo of {}', '{}']",7500,"['4581', '65756', '20346']",940,945
artichoke,head cabbage,"['An image of {}', 'A photo of {}', '{}']",3384,"['75721', '55714', '83270']",944,936
mushroom,strawberry,"['An image of {}', 'A photo of {}', '{}']",5682,"['75334', '54670', '50389']",947,949
Granny Smith,ant,"['An image of {}', 'A photo of {}', '{}']",4593,"[48148, 47297, 91878]",948,310
lemon,zucchini,"['An image of {}', 'A photo of {}', '{}']",5905,"['76651', 62042, '54456']",951,939
pineapple,pizza,"['An image of {}', 'A photo of {}', '{}']",2419,"['13306', '89380', '73700']",953,963
banana,zucchini,"['An image of {}', 'A photo of {}', '{}']",9119,"['71469', 96675, '38124']",954,939
pomegranate,bell pepper,"['An image of {}', 'A photo of {}', '{}']",3801,"['93202', '13421', '25816']",957,945
hay,lawn mower,"['An image of {}', 'A photo of {}', '{}']",3489,"[26271, '44681', '74853']",958,621
carbonara,guacamole,"['An image of {}', 'A photo of {}', '{}']",8120,"['90951', '63349', '2177']",959,924
chocolate sauce,mashed potato,"['An image of {}', 'A photo of {}', '{}']",4453,"['53261', '93861', '52986']",960,935
meat loaf,French loaf,"['An image of {}', 'A photo of {}', '{}']",4340,"['71040', '89715', '55606']",962,930
potpie,dough,"['An image of {}', 'A photo of {}', '{}']",9419,"['85737', '33767', '23200']",964,961
red wine,strawberry,"['An image of {}', 'A photo of {}', '{}']",4598,"[3184, 89714, '10604']",966,949
eggnog,burrito,"['An image of {}', 'A photo of {}', '{}']",7102,"['93572', 94133, 63253]",969,965
cliff,ant,"['An image of {}', 'A photo of {}', '{}']",8929,"[53003, '74336', '21440']",972,310
lakeside,canoe,"['An image of {}', 'A photo of {}', '{}']",8321,"[66473, 56335, 9125]",975,472
valley,seashore,"['An image of {}', 'A photo of {}', '{}']",9993,"[11312, 45457, '24540']",979,978
volcano,snail,"['An image of {}', 'A photo of {}', '{}']",3192,"['38353', 51118, '32556']",980,113
scuba diver,sea lion,"['An image of {}', 'A photo of {}', '{}']",5940,"[61648, 95456, 29613]",983,150
corn,bee,"['An image of {}', 'A photo of {}', '{}']",2465,"[26733, 57402, 59117]",987,309
acorn,acorn squash,"['An image of {}', 'A photo of {}', '{}']",8524,"['54348', '14348', '24083']",988,941
coral fungus,standard poodle,"['An image of {}', 'A photo of {}', '{}']",5827,"[85220, '68473', 14771]",991,267
earthstar,snail,"['An image of {}', 'A photo of {}', '{}']",7591,"[60378, 48868, 3876]",995,113
toilet tissue,shower curtain,"['An image of {}', 'A photo of {}', '{}']",7591,"['18019', 96726, '74398']",999,794
